夜市名稱,調味名稱,攤位,攤商名稱,品牌,來源(產地)
饒河街觀光夜市,沙拉油,饒河街45號對面,炸彈蔥油餅,大統益股份有限公司,台南市官田區二鎮里工業西路32號
饒河街觀光夜市,醬油,饒河街45號對面,炸彈蔥油餅,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,鹽,饒河街45號對面,炸彈蔥油餅,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,胡椒粒,饒河街173攤位,乾燒蛤,福利蔥蒜行,台北市大同區歸綏街246號
饒河街觀光夜市,沙拉油,饒河街61號攤位,一口煎餃,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街61號攤位,一口煎餃,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,沙拉油,饒河街63號店面右邊,老芋頭仔芋頭酥,大成長城企業股份有限公司,台南市永康區蔦松二街3號
饒河街觀光夜市,糖,饒河街63號店面右邊,老芋頭仔芋頭酥,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,香油,饒河街64號攤位,黑仔滷味,辰邦股份有限公司,新北市新莊區化成路403巷47號
饒河街觀光夜市,糖,饒河街64號攤位,黑仔滷味,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街64號攤位,黑仔滷味,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,鹽,饒河街64號攤位,黑仔滷味,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,胡椒粉,饒河街66攤位,鹽酥雞,天裕行(其美有限公司),台北市信義區松山路156之1號
