夜市名稱,調味名稱,攤位,攤商名稱,品牌,來源(產地)
臨江街觀光夜市,沙拉油,臨江街83號中間,難忘胡椒蝦,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,胡椒鹽,臨江街83號中間,難忘胡椒蝦,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,醬油,臨江街83號中間,難忘胡椒蝦,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,沙拉油,臨江街81號右側,林記小辣椒魷魚羹,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,味精,臨江街81號右側,林記小辣椒魷魚羹,味全食品工業股份有限公司,台北市中山區松江路125號
臨江街觀光夜市,糖,臨江街81號右側,林記小辣椒魷魚羹,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,臨江街81號右側,林記小辣椒魷魚羹,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,臨江街81號右側,林記小辣椒魷魚羹,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,臨江街83號中間,鳳梨蝦球,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,沙拉油,臨江街100號中間,漢記地瓜球,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,調味粉,臨江街100號中間,漢記地瓜球,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,糖,臨江街100號中間,漢記地瓜球,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,臨江街93號對面臨江街93號對面,純手工一口吃煎餃,新亞醬園,新北市蘆洲區長安街285巷18號1樓
臨江街觀光夜市,麻辣油,臨江街夜市路中攤位,麻辣魚蛋,蛋蛋達人麻辣魚蛋,新北市板橋區南雅東路(南雅夜市內)
臨江街觀光夜市,鹽,臨江街夜市路中攤位,麻辣魚蛋,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,糖,臨江街入口,QQ涼圓,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,沙拉油,臨江街83號,盈家鹽酥菇,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,胡椒鹽,臨江街83號,盈家鹽酥菇,竹森堂中藥店,新北市永和區永和路二段249號
臨江街觀光夜市,糖,臨江街81號中間,曾阿婆豬血糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,臨江街81號中間,曾阿婆豬血糕,味王股份有限公司,台北市中山區中山北路二段79號6樓
臨江街觀光夜市,沙拉油,臨江街2號店前,鳳記轟炸雞無骨鹽酥雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,鹽,臨江街夜市入口處,澎湖花生台南菱角,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,臨江街69號前面,海炸王,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,糖,臨江街69號前面,海炸王,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,鹽,臨江街69號前面,海炸王,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,醬油,通化街70號側邊,碳烤玉米,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,魚露,通化街70號側邊,慈記涼拌木瓜,洋民有限公司,桃園市蘆竹區長安路2段116號
臨江街觀光夜市,糖,通化街70號側邊,慈記涼拌木瓜,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,味精,臨江街87之12號,鍾通化魷魚羹,味王股份有限公司,台北市中山區中山北路二段79號6樓
臨江街觀光夜市,糖,臨江街87之12號,鍾通化魷魚羹,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,臨江街87之12號,鍾通化魷魚羹,福壽實業股份有限公司,台中市沙鹿區沙田路45號
臨江街觀光夜市,鹽,臨江街87之12號,鍾通化魷魚羹,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,臨江街83號旁,寶素齋,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,香油,臨江街83號旁,寶素齋,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
臨江街觀光夜市,糖,臨江街83號旁,寶素齋,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,臨江街83號旁,寶素齋,新亞醬園,新北市蘆洲區長安街285巷18號1樓
