調味名稱,攤位,攤商名稱,品牌,來源(產地),夜市名稱,_id
糖,饒河街345號路中,玉米哥直立式碳烤,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,604
醬油,饒河街345號路中,玉米哥直立式碳烤,新亞醬園,新北市蘆洲區長安街285巷18號1樓,饒河街觀光夜市,605
鹽,饒河街345號路中,玉米哥直立式碳烤,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,606
沙拉油,饒河街夜市路中348號,阿根脆皮臭豆腐,美食家食材通路股份有限公司,台南市安平區永華路二段373號,饒河街觀光夜市,607
蒜泥,饒河街夜市路中348號,阿根脆皮臭豆腐,環南市場,台北市萬華區環河南路二段245號,饒河街觀光夜市,608
糖,饒河街夜市路中348號,阿根脆皮臭豆腐,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,609
醬油,饒河街夜市路中348號,阿根脆皮臭豆腐,西螺大同醬油股份有限公司,雲林縣斗六市工業區斗工二路39號,饒河街觀光夜市,610
鹽,饒河街夜市路中348號,阿根脆皮臭豆腐,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,611
糖,中華路二段311巷-313巷間,好了啦超大杯,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,612
味精,中華路二段307巷20號旁,山內雞肉,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,613
糖,中華路二段307巷20號旁,山內雞肉,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,614
醬油,中華路二段307巷20號旁,山內雞肉,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,南機場夜市,615
鹽,中華路二段307巷20號旁,山內雞肉,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,616
