調味名稱,攤位,攤商名稱,品牌,來源(產地),夜市名稱,_id
海苔,臨江街5號對面,冠魚蛋小屋,冠魚蛋小屋(總店),臺北市士林區大南路(士林廟口前),臨江街觀光夜市,443
調味粉,臨江街5號對面,冠魚蛋小屋,冠魚蛋小屋(總店),臺北市士林區大南路(士林廟口前),臨江街觀光夜市,444
檸檬,臨江街5號對面,冠魚蛋小屋,冠魚蛋小屋(總店),臺北市士林區大南路(士林廟口前),臨江街觀光夜市,445
糖,臨江街2號對面,臨江紅豆餅,新亞醬園,新北市蘆洲區長安街285巷18號1樓,臨江街觀光夜市,446
沙拉油,臨江街2號對面,雞婆脆皮雞排,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,447
調味粉,臨江街2號對面,雞婆脆皮雞排,通隆商行,台北市大安區通化街39巷49弄1號,臨江街觀光夜市,448
地瓜粉,臨江街2號左側第三家,吳記排骨酥,中曼貿易股份有限公司,台北市大安區信義路四段296號12樓之3,臨江街觀光夜市,449
耐炸油,臨江街2號左側第三家,吳記排骨酥,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,450
胡椒鹽,臨江街2號左側第三家,吳記排骨酥,通隆商行,台北市大安區通化街39巷49弄1號,臨江街觀光夜市,451
辣椒粉,臨江街2號左側第三家,吳記排骨酥,濟生股份有限公司,台北市大同區安西街116號,臨江街觀光夜市,452
檸檬汁,臨江街70-72號中間,正宗泰式涼拌木瓜,第一果菜批發市場,台北市萬華區萬大路533號,臨江街觀光夜市,453
香油,通化街70-72號中間,禎記滷味,辰邦股份有限公司,新北市新莊區化成路403巷47號,臨江街觀光夜市,454
糖,通化街70-72號中間,禎記滷味,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,455
醬油,通化街70-72號中間,禎記滷味,金蘭食品股份有限公司,桃園市大溪區介壽路236號,臨江街觀光夜市,456
冰糖,臨江街70號旁邊,青草茶苦茶,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,457
太白粉,臨江街81號右側,蚵仔煎,易順興雜糧行,台北市信義區基隆路一段360號,臨江街觀光夜市,458
地瓜粉,臨江街81號右側,蚵仔煎,易順興雜糧行,台北市信義區基隆路一段360號,臨江街觀光夜市,459
糖,臨江街81號右側,蚵仔煎,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,460
沙拉油,臨江街83號前左,魷魚船,丹騰美食,新北市中和區廣福路56巷2弄5號,臨江街觀光夜市,461
調味粉,臨江街83號前左,魷魚船,丹騰美食,新北市中和區廣福路56巷2弄5號,臨江街觀光夜市,462
香油,臨江街87號之11號,麻油雞,辰邦股份有限公司,新北市新莊區化成路403巷47號,臨江街觀光夜市,463
醬油,臨江街87號之11號,麻油雞,金蘭食品股份有限公司,桃園市大溪區介壽路236號,臨江街觀光夜市,464
鹽,臨江街87號之11號,麻油雞,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,465
耐炸油,臨江街81號前,金酥臭豆腐,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,466
醬油,臨江街81號前,金酥臭豆腐,永芳醬園股份有限公司,新北市永和區仁愛路141巷52號,臨江街觀光夜市,467
沙拉油,臨江街83號中間,難忘胡椒蝦,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,468
胡椒鹽,臨江街83號中間,難忘胡椒蝦,易順興雜糧行,台北市信義區基隆路一段360號,臨江街觀光夜市,469
醬油,臨江街83號中間,難忘胡椒蝦,金蘭食品股份有限公司,桃園市大溪區介壽路236號,臨江街觀光夜市,470
沙拉油,臨江街81號右側,林記小辣椒魷魚羹,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,471
味精,臨江街81號右側,林記小辣椒魷魚羹,味全食品工業股份有限公司,台北市中山區松江路125號,臨江街觀光夜市,472
糖,臨江街81號右側,林記小辣椒魷魚羹,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,473
醬油,臨江街81號右側,林記小辣椒魷魚羹,金蘭食品股份有限公司,桃園市大溪區介壽路236號,臨江街觀光夜市,474
鹽,臨江街81號右側,林記小辣椒魷魚羹,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,475
沙拉油,臨江街83號中間,鳳梨蝦球,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,476
沙拉油,臨江街100號中間,漢記地瓜球,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,477
調味粉,臨江街100號中間,漢記地瓜球,易順興雜糧行,台北市信義區基隆路一段360號,臨江街觀光夜市,478
糖,臨江街100號中間,漢記地瓜球,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,479
醬油,臨江街93號對面臨江街93號對面,純手工一口吃煎餃,新亞醬園,新北市蘆洲區長安街285巷18號1樓,臨江街觀光夜市,480
麻辣油,臨江街夜市路中攤位,麻辣魚蛋,蛋蛋達人麻辣魚蛋,新北市板橋區南雅東路(南雅夜市內),臨江街觀光夜市,481
鹽,臨江街夜市路中攤位,麻辣魚蛋,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,482
糖,臨江街入口,QQ涼圓,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,483
沙拉油,臨江街83號,盈家鹽酥菇,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,484
胡椒鹽,臨江街83號,盈家鹽酥菇,竹森堂中藥店,新北市永和區永和路二段249號,臨江街觀光夜市,485
糖,臨江街81號中間,曾阿婆豬血糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,486
醬油,臨江街81號中間,曾阿婆豬血糕,味王股份有限公司,台北市中山區中山北路二段79號6樓,臨江街觀光夜市,487
沙拉油,臨江街2號店前,鳳記轟炸雞無骨鹽酥雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,488
米酒,中華路二段309巷-311巷間,甲林鐵板燒,菸酒公賣局,台灣,南機場夜市,577
鹽,臨江街夜市入口處,澎湖花生台南菱角,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,489
沙拉油,臨江街69號前面,海炸王,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,490
糖,臨江街69號前面,海炸王,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,491
鹽,臨江街69號前面,海炸王,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,492
醬油,通化街70號側邊,碳烤玉米,金蘭食品股份有限公司,桃園市大溪區介壽路236號,臨江街觀光夜市,493
魚露,通化街70號側邊,慈記涼拌木瓜,洋民有限公司,桃園市蘆竹區長安路2段116號,臨江街觀光夜市,494
糖,通化街70號側邊,慈記涼拌木瓜,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,495
味精,臨江街87之12號,鍾通化魷魚羹,味王股份有限公司,台北市中山區中山北路二段79號6樓,臨江街觀光夜市,496
糖,臨江街87之12號,鍾通化魷魚羹,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,497
醬油,臨江街87之12號,鍾通化魷魚羹,福壽實業股份有限公司,台中市沙鹿區沙田路45號,臨江街觀光夜市,498
鹽,臨江街87之12號,鍾通化魷魚羹,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,499
沙拉油,臨江街83號旁,寶素齋,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,500
香油,臨江街83號旁,寶素齋,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,臨江街觀光夜市,501
糖,臨江街83號旁,寶素齋,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,502
醬油,臨江街83號旁,寶素齋,新亞醬園,新北市蘆洲區長安街285巷18號1樓,臨江街觀光夜市,503
鹽,臨江街83號旁,寶素齋,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,504
沙拉油,臨江街81號右側巷內,蔡蚵嗲,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,505
香油,臨江街81號右側巷內,蔡蚵嗲,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,臨江街觀光夜市,506
糖,臨江街81號右側巷內,蔡蚵嗲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,507
醬油,臨江街81號右側巷內,蔡蚵嗲,金蘭食品股份有限公司,桃園市大溪區介壽路236號,臨江街觀光夜市,508
鹽,臨江街81號右側巷內,蔡蚵嗲,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,509
醬油,通化街70號側邊,碳烤串燒,金蘭食品股份有限公司,桃園市大溪區介壽路236號,臨江街觀光夜市,510
豬油,170號前,台南米糕,自製,臺灣,西昌街觀光夜市,599
鹽,通化街70號側邊,碳烤串燒,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,511
甜辣醬,臨江街2號店前,芝麻園,三豐食品工廠,新北市新莊區化成路100號,臨江街觀光夜市,512
辣椒粉,臨江街2號店前,芝麻園,環球食品商行,嘉義縣民雄鄉興中村義橋1號之4,臨江街觀光夜市,513
醬油,臨江街2號店前,芝麻園,雙美人牌,台北市大同區環河北路一段331號,臨江街觀光夜市,514
沙拉油,臨江街2號店前,上海生煎包鍋貼,泰山企業股份有限公司,彰化縣田中鎮興工路6號,臨江街觀光夜市,515
鹽,臨江街2號店前,上海生煎包鍋貼,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,516
胡椒粉,臨江街7號店前,起司輪馬鈴薯,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,臨江街觀光夜市,517
鹽,臨江街7號店前,起司輪馬鈴薯,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,518
沙拉油,臨江街1號店前,咖哩王子,泰山企業股份有限公司,彰化縣田中鎮興工路6號,臨江街觀光夜市,519
糖,臨江街1號店前,咖哩王子,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,520
醬油,臨江街1號店前,咖哩王子,統萬股份有限公司,台南市東區中華東路二段193號18樓之12,臨江街觀光夜市,521
鹽,臨江街1號店前,咖哩王子,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,臨江街觀光夜市,522
糖,臨江街92之1號前,九龍茶鋪,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,523
格登炸雞,臨江街39巷50弄33號,格登炸雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號,臨江街觀光夜市,524
胡椒,臨江街85號前,牛咩咩可麗餅,宏元食品行,台北市信義區松隆路50號一樓,臨江街觀光夜市,525
煉乳,臨江街85號前,印度拉茶,盛發興食品股份有限公司 ,雲林縣斗六市斗六工業區民享街1號,臨江街觀光夜市,526
沙拉油,臨江街83號路中,阿芳潤餅捲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,527
芥末粉,臨江街83號路中,阿芳潤餅捲,易順興雜糧行,台北市信義區基隆路一段360號,臨江街觀光夜市,528
辣椒醬,臨江街83號路中,阿芳潤餅捲,易順興雜糧行,台北市信義區基隆路一段360號,臨江街觀光夜市,529
糖,臨江街83號路中,阿芳潤餅捲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,臨江街觀光夜市,530
黑糖,雙城街攤販臨時集中場(夜28),晴光仙草,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,雙城街夜市,531
淡煉乳,饒河街73號,橘象,盛發興食品股份有限公司,雲林縣斗六市榴中里民享街1號 新莊區五權五路19號,饒河街觀光夜市,532
白米,士林市場地下1樓45,蓁品美食,無品牌,台灣,士林觀光夜市,3305
糖,饒河街73號,橘象,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,533
中藥材,179,馬家莊便當,永盛藥行有限公司,台北市大同區迪化街一段85號1樓,華西街觀光夜市,534
沙拉油,179,馬家莊便當,泰山企業股份有限公司,彰化縣田中鎮興工路6號,華西街觀光夜市,535
